41,일등병부대찌개,유규석,전라북도 전주시 덕진구 백제대로 676 (금암동), 063- 254-8885,2017-11-03,부대찌게,2018-08-11
42,다래면옥,서용욱,전라북도 전주시 완산구 백제대로 402 (서신동), 063- 255-4291,2017-11-01,냉면,2018-08-11
43,장천회관,박종군,전라북도 전주시 완산구 고사평1길 9 (서신동), 063- 271-3123,2017-11-01,오리요리,2018-08-11
44,해이루,홍성인,전라북도 전주시 덕진구 명륜5길 9 (덕진동1가), 063- 272-1829,2017-11-03,감자탕,2018-08-11
45,석기시대,허성철,"전라북도 전주시 덕진구 붓내3길 17-5, 1층 (송천동2가)", 063- 272-3331,2017-11-03,고기류,2018-08-11
46,늘채움앤부대찌개,김만종,전라북도 전주시 덕진구 덕진연못3길 6 (덕진동2가), 063- 272-5737,2017-11-03,부대찌게등,2018-08-11
47,한국관,노희범,전라북도 전주시 덕진구 기린대로 425 (금암동), 063- 272-9229,2017-11-03,비빔밥,2018-08-11
48,흑두부이야기,정헌화,전라북도 전주시 완산구 서곡2길 30-19 (효자동3가), 063- 273-2332,2017-11-01,"흑두부보쌈, 전골",2018-08-11
49,현대옥송천솔래점,류신철,"전라북도 전주시 덕진구 송천중앙로 233-20 (송천동2가, 외1필지)", 063- 276-0099,2017-11-03,콩나물국밥,2018-08-11
50,자금성,조광조,전라북도 전주시 덕진구 송천중앙로 222 (송천동2가), 063- 277-9965,2017-11-03,짬뽕등,2018-08-11
51,콩각시굴신랑,어채원,전라북도 전주시 덕진구 숲정이5길 11 (진북동), 063- 278-1378,2017-11-03,돌솥밥,2018-08-11
52,양반가,노은성,전라북도 전주시 완산구 최명희길 30-2 (풍남동3가), 063- 282-0054,2017-11-01,한정식,2018-08-11
53,송정원,신현봉,전라북도 전주시 완산구 은행로 20-1 (풍남동1가), 063- 283-7663,2017-11-01,한정식,2018-08-11
54,가족회관,양미,전라북도 전주시 완산구 전라감영5길 17 (중앙동3가), 063- 284-0982,2017-11-01,비빔밥,2018-08-11
55,팔도명가,전완열,전라북도 전주시 완산구 서신천변1길 25 (서신동), 063- 284-1963,2017-11-01,참게장,2018-08-11
56,한국집,이사 장지혜,전라북도 전주시 완산구 어진길 119 (전동), 063- 284-2224,2017-11-01,비빔밥,2018-08-11
57,삼백집,조정래,전라북도 전주시 완산구 전주객사2길 22 (고사동), 063- 284-2227,2017-11-01,콩나물국밥,2018-08-11
58,백번집,주환,전라북도 전주시 완산구 전라감영2길 15 (다가동1가), 063- 286-0100,2017-11-01,한정식,2018-08-11
59,연지회관(본점),김두원,전라북도 전주시 완산구 현무1길 15 (경원동3가), 063- 286-4988,2017-11-01,우족탕,2018-08-11
60,송림일식,김덕수,전라북도 전주시 완산구 전라감영3길 12-9 (중앙동2가), 063- 287-0854,2017-11-01,생선회,2018-08-11
61,왱이집,유대성,전라북도 전주시 완산구 동문길 88 (경원동2가), 063- 287-6980,2017-11-01,콩나물국밥,2018-08-11
62,반야돌솥밥(본점),임정숙,전라북도 전주시 완산구 홍산1길 6 (효자동2가), 063- 288-3174,2017-11-01,돌솥비빔밥,2018-08-11
63,종로회관,김미영,전라북도 전주시 완산구 전동 60-1, 063- 288-4578,2017-11-01,비빔밥,2018-08-11
64,풍남문한우촌,박정엽,전라북도 전주시 완산구 팔달로 119-4 (전동), 063- 288-6020,2017-11-01,"소고기, 갈비탕",2018-08-11
66,호순이감자탕,김현자,전라북도 전주시 완산구 강변로 78 (삼천동1가), 063-221 -2489,2017-11-01,감자탕,2018-08-11
67,차이나홍,노태영,"전라북도 전주시 완산구 백제대로 20 (평화동1가,외1필지 갤러리아 복합시설)", 063-226 -1000,2017-11-01,"자장면,짬뽕",2018-08-11
68,감로헌,조현주,전라북도 전주시 덕진구 권삼득로 247 (금암동), 063-275 -8811,2017-11-03,약선음식,2018-08-11
75,쿠우쿠우(효자점),조지만,"전라북도 전주시 완산구 홍산남로 73, 401, 402호 (효자동3가)",063 - 222-6274,2017-11-01,뷔페,2018-08-11
76,린차이,백대일,"전라북도 전주시 덕진구 팔달로 357-25 (진북동, 1층~3층)",063 - 255-9333,2017-11-03,짜장면등,2018-08-11
77,아중도토리묵촌서신점,이명자,전라북도 전주시 완산구 온고을로 120 (서신동),063 - 273-3003,2017-11-01,도토리묵,2018-08-11
78,전주함씨네밥상,함정희,전라북도 전주시 완산구 전주천동로 20 (교동),063 -211 -1064,2017-11-01,한식뷔페,2018-08-11
